,repostory_name,repos_language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,armbench,Python
45,auction-gym,Jupyter Notebook
46,augment-the-pairs-wacv2024,Python
47,autotrail,Python
48,aws-apigateway-client-lib,
49,aws-sigv4-signing-samples,Java
50,awsssmchaosrunner,Kotlin
51,basis-point-sets,Python
52,buy-with-prime-automate-tenant-validation,JavaScript
53,buy-with-prime-cdk-constructs,TypeScript
54,buy-with-prime-event-accelerator,Python
55,buy-with-prime-monitoring-sample-cdk,TypeScript
56,buy-with-prime-oauth-handler-ec2,JavaScript
57,buy-with-prime-saas-integration,TypeScript
58,chalet-charging-location-for-electric-trucks,Python
59,computer-vision-basics-in-microsoft-excel,
60,confident-sinkhorn-allocation,Jupyter Notebook
61,convolutional-handwriting-gan,Python
62,cosearcher,Python
63,credence-to-causal-estimation,Python
64,data-jack-knife,Java
65,debiased-balanced-interleaving,Jupyter Notebook
66,differential-privacy-bayesian-optimization,Python
67,distance-assistant,Python
68,drs-sample-android-app,Java
69,drs-sample-ios-app,Objective-C
70,emukit-playground,JavaScript
71,eslint-plugin-no-date-parsing,TypeScript
72,exoplayer-amazon-port,Java
73,explainable-text-vqa,
74,extremely-efficient-query-encoder,Python
75,faithful-data2text-cycle-training,Python
76,fashion-attribute-disentanglement,Python
77,fire-app-builder,Java
78,firetv-sample-touch-app,Java
79,ftv-integration-sdk-sample-app,Kotlin
80,ftv-livetv-sample-tv-app,Java
81,gameon-sample-game-unity,C#
82,gameon-starter-kit-unity,C#
83,git-commit-template,JavaScript
84,glad,JavaScript
85,golang-gitoperations,Go
86,halo-third-party-sdk-for-java,Java
87,halo-third-party-sdk-for-node-js,TypeScript
88,halo-third-party-sdk-for-python,Python
89,hawktracer,C++
90,image-misspell-coling2020,
91,image-to-recipe-transformers,Python
92,informative-diverse-hard-negative-sampling,Python
93,ion-object-mapper-dotnet,C#
94,jekyll-doc-project,HTML
95,kqr,
96,login-with-amazon-oscommerce,PHP
97,login-with-amazon-wordpress,PHP
98,media3-external-port,
99,merlin-on-demand-callgraph,JavaScript
100,metalearn-leap,Python
101,milan,Scala
102,mrc-net-6d-pose,Python
103,multiconer-baseline,Python
104,multilingual-keyphrase-generation,Python
105,multimodal-affinities,Python
106,MXFusion,Python
107,nimbus-jose-jwt_aws-kms-extension,Java
108,node-jose_aws-kms-extension,TypeScript
109,openapi-swift-code-generate,Swift
110,orthogonal-additive-gaussian-processes,Python
111,oss-attribution-builder,TypeScript
112,oss-contribution-tracker,TypeScript
113,oss-dashboard,Ruby
114,pecos,Python
115,pretraining-or-self-training,Python
116,python-jose_aws-kms-extension,Python
117,rdma-core,C
118,refuel-open-domain-qa,Python
119,rete-thewebconf-2022,Python
120,rheoceros,Python
121,robotiq-gripper-interface,C++
122,sample-fire-tv-app-video-skill,Java
123,selling-partner-api-docs,
124,selling-partner-api-models,Mustache
125,selling-partner-api-samples,Python
126,seqzero,Python
127,service-model-swift-code-generate,Swift
128,sketch-constructor,JavaScript
129,smoke-aws,Swift
130,smoke-aws-credentials,Swift
131,smoke-aws-generate,Swift
132,smoke-aws-support,Swift
133,smoke-dynamodb,Swift
134,smoke-framework,Swift
135,smoke-framework-application-generate,Swift
136,smoke-framework-examples,Swift
137,smoke-http,Swift
138,sparse-vqvae,Python
139,ss-aga-kgc,Python
140,sto-transformer,Python
141,style-dictionary,JavaScript
142,supply-chain-simulation-environment,Python
143,tiny-attribution-generator,TypeScript
144,trans-encoder,Python
145,user-satisfaction-modeling,Python
146,workspace-resolver,JavaScript
147,ws-vae,Python
148,xfer,Python
149,zeek-plugin-bacnet,Zeek
